辨識碼,卦序,卦名,組成,建議,運勢,愛情,求職,考試,事業
221221,51,震,雷,震卦表奮發、震動，有衝動不安穩的現象。此卦太過劇烈，因此得這個卦不是大好就是大壞。最近面對變動若能因恐懼而有所警惕，謹慎處事，則有驚無險，因此而得福。反之，若對變動麻木不仁，則可能招來禍害。,表面似盛泰，但正處於多事之秋，宜慎重，勿自視過高，無益也。有動盪、不安、驚懼之象耳。,有虛無實，是非、外語雜多。,目前會有困難與挑戰，需要點時間來克服這狀況，不要灰心。,成績結果達到目標設定，可寬心。可榜登科甲。,事情有突然的變動。戒慎恐懼則吉。
122122,52,艮,山,艮（ㄍㄣˋ）卦表停止、退守之意。如同登山越嶺，需充分審視自己的體能，和山上的情勢，絕不可逞強。因此該停止的時候就停止，絕對不可輕舉妄動。守住本份，求得不犯錯，就能保平安、順利。,應當潔身自愛，依賴心不要太重，否則不利。凡事不可輕舉妄動，諸事宜守，相輔得吉。儒家有言:『靜亦定，動亦定』，此非言死等，宜中正德行，固守貞常之道，凡事有定之理也。,有對峙、單戀、難合之勢，雙方各有阻撓也。,目前先固守本份為宜。以目前本身的本份為重，先不要想其他的。,表現未能達到目標，仍需要努力，等時間成熟便可成功，繼續加油。落榜。,停頓，發展非常困難。
112122,53,漸,風山,漸卦表示循序漸進，不可心急。千萬不能想要走捷逕，不能躁進。依常規而行，一步一腳印，則諸事大吉。,逐漸順利，光明開運之象。凡事物務必掌握時機，循序漸進，可得吉慶。須防款項交易之差錯及色情之災。,慢慢交往可成就良緣。但此卦有女子思男或已入男家，未能得男方家長同意者，但有心中能成良緣。,有機會找到不錯的工作。,成績持續有進步，要繼續努力，努力有成果，必能達到更佳的理想目標。成績有進步。,分段擬定目標，按部就班，循序漸進，可以有所獲得。
221211,54,歸妹,雷澤,歸妹卦表示小妹急著想出嫁，為感情衝動、不理智之象。所有記得凡事要特別注意不要感情用事，才能保障自身的平安。,禍出百端，事物有違常理。初時有悅，不久反凶，禍害隨至。,孽緣，必以悲劇收場。,挑戰與困難度很大，先等一段時間後再換方向，或者再另做打算，以免困難重重。,目前有挑戰，困難重重，極可能需要更多的時間努力才能達到設定目標，一年後變可有改變，繼續加油。有重新再讀一年之況。,結盟、合作可以成功，但有法律風險。其餘事務，凶，無利可圖。
221121,55,豐,雷火,豐卦表示豐收。這是一個勸人積極奮發的卦，意象是天雷勾動地火，閃電迅速達成之意。事事都適宜盛大舉行，讓眾人皆知。也代表做事可以打鐵趁熱，順勢推舟。,豐者必有所得，明智者宜於最全盛有收穫時，保身明哲。然人多貪而不厭，於滿足，而挺險圖利，終有悔。尤其應注意有訴訟之事，有損財或火災之象。,熾情，好動，情可成。若得意忘形則有失。,有利。職務工作變動大，或外務之類。,表現有望過及格標準。,不需太過擔心，有貴人相助。適於行銷、廣告、活動等之舉行。
121122,56,旅,火山,旅卦表示旅行，有不定、不安穩之意。事事皆在浮動之中，雖不現凶象，但也是很令人煩心的。面對不穩定還是應低調謹慎些為好。,諸事不定，宜考量他人之意見。潔身自愛，始可改變厄運，否則必有凶。,不穩定、遊戲心態重，宜以平常心看之，不能太重視。,多珍惜目前所有，少去觀望不屬於自己的。,表現未能達到目標，仍需要很大的努力，要繼續努力不放棄方可等時間成熟，便可成功在望，繼續加油。很差。,近期事業情況不太穩定，謹慎些為好。
112112,57,巽,風,巽（ㄒㄩㄣˋ）卦表示不定之象，像風一樣有時柔順，有時狂暴，因此不是大好就是大壞。近期事情較不易掌控，波折變化較多。因此凡事柔順以對，慢慢進行，是可以成功的。不過小事可以成功，大事反而凶。這時候適合找貴人，並且做任何事都要記得不厭其煩的再三叮嚀，謹慎為上。,此卦象徵多波折，游離不定之運也。此時要處理不驚，堅定意志，物事果斷而隨機應變，不必一味跟從順行。待人接物宜心平氣和，則可得意外之收穫。切記狂風之下必有所損。,要冷靜。風若和，日必麗。風若凝聚，可知暴風雨將至，終身大事不可不慎。時好時壞，把戲真不少，均輕飄不實也。,不能達到理想，可隨機應變。,未達目標，能要多努力用功。,市利三倍，大吉。
211211,58,兌,兌,兌（ㄉㄨㄟˋ）卦表示少女純真喜悅之象。喜悅是帶領人前進的動力，若能善加利用則人冒死也會為其效勞。兌卦又有講習之象，能夠與人相互切磋，當有所得。,有喜亦有憂，有譽亦有譏，雖得吉慶如意，然應守持正道，否則犯災。,有嬌蠻、任性鬥嘴之象，切勿意氣用事，因此卦內剛，定會有口舌，隨和相處可吉。有如兩小無猜的純純感情般。,目標可以達成，但仍要謹慎處理，不可太大意。,表現結果不錯，理想。成績佳。,小亨通。適於娛樂事業。
112212,59,渙,風水,渙卦表示渙散之象。這時候人的向心力均已離散，有頹廢不振的運勢。人的心緒是最大的影響，若能穩定情緒、定下心神，會再恢復以往的神采風光，有所成就。,初有小損，但終可解困而心悅，凡事小心則百事亨通，任性放縱必敗。遠方物事吉利，但宜守其常。,因有一些小障礙，而可能會造成離散之象，外在因素，情緣仍在，有可能在復合。,雖有挫折，但可成。宜耐心。,尚可，宜再加油。,危險可除，但難有成就。
212211,60,節,水澤,節卦表示節制。此卦吉凶未定，變成說節制不夠會散亂，但節制太過了就會變成吝嗇，步入窮困之局。如何取得平衡與中庸是當前的課題，但長遠來看，最好的節制方法還是建立制度。,以和悅之心去渡過險境，則可克難而出險道。而悅者何苦惱，陷者有悅象，故此時需要有節制為宜。,是否成就，須看自己之節制之品德，因得此卦，若女者對感情堅貞而不隨便者，可吉也，否則破。,時機尚未成熟，不易成功，要有耐心等待時機成熟。,須力求上進，不可怠忽。榜尾有名。,適當節制可求得小亨通。
112211,61,中孚,風澤,中孚卦表示誠信、實在。是一個化險為夷之卦，只要帶人以誠，難關皆可度過，事事皆可順利而行。,如三月之春花，似錦大地，與人謀事均得利。誠者，立業之本也，若存邪曲之念則破吉運，須認清善惡。得此卦誠者佳，尤利他鄉財路。,雙方以誠相待，良緣也。,環境時間都對目前的選擇狀況有利。,必能心想事成，達到目標。必定上榜。,有財務虛空之象，為長遠計，此時商譽、信用格外的重要。
221122,62,小過,小過,小過卦表示小有過錯。事事會小有不順，而被打壓的跡象，因此最忌諱衝動犯上，會因此埋下禍端。此時會需要忍耐一段時間才能再有發揮的機運。,行事不如意，宜謹守，與六親不和之象。又忠言逆耳犯上得罪人之事，反為害己之因，故凡諸事均有枝節、苦煩，不能達志耳。,擁有過，但自覺不相稱，已經不掛於心矣。,目前阻礙較多，不容易心想事成，挑戰嚴峻，成功較不容易。,表現未能達到目標，仍需要努力，等時間成熟便可成功，繼續加油。不理想。,凡事退一步為吉，進一步、往上爬則凶。
212121,63,既濟,水火,既濟卦表示已經得到利益不可貪之無厭。是一個水火陰陽調和，「一時」平安和樂之象。因此如果只沉浸於眼前的安樂，則凶險不遠了。,功名雙收。極盛既至，但須知物極必反，宜退守為吉，再進則凶。但得此卦者，皆有因一時順利而忘本，大意失荊州，終有人不和、心迷亂之象。,起初出雙人對，形影不離，久後反無情必散。,需有更果斷的決定行事。,實力有，但需視考期之日吉凶而定，小吉。,亨通。但應提防即將開始走下坡。
121212,64,未濟,火水,未濟卦表示快要獲利，為陰陽不調和，氣血不順之象。雖然目前仍遭遇不順，但表示的是會有否極泰來之變化，一切均會雨過天青的，值得等待。,氣運不通，諸事不能如願，有初衰後盛之數。凡事要有耐心去突破難關，前途將大有可望。此時宜採取篤實的方針和毅力，能夠努力建立自己者，可名利雙收。與人共謀事者，終有大利，可為之。,剛開始時意見不能溝通，格格不入。若能試著去接受對方，可成也。,目前較有挑戰，建議先做其他選擇，等候時機成熟。,不錯，有好成績。,若不用心明辨真相，可能受到二次傷害。無利可圖。
